palabra,sentimiento,emocion
competitivo,neutro,neutro
competidor,neutro,neutro
Compilacion,neutro,neutro
compilar,neutro,neutro
complacencia,positivo,neutro
suficiente,neutro,neutro
quejarse,negativo,enfado
queja,negativo,enfado
complementar,positivo,anticipacion
complementario,positivo,neutro
terminado,neutro,neutro
completamente,positivo,neutro
lo completo,positivo,neutro
completando,positivo,anticipacion
terminación,positivo,anticipacion
complejo,neutro,neutro
acomplejado,negativo,neutro
tez,neutro,neutro
complejidad,negativo,neutro
cumplimiento,positivo,confianza
obediente,positivo,neutro
complicar,negativo,enfado
Complicado,negativo,neutro
complicación,negativo,neutro
complicidad,negativo,neutro
cumplido,positivo,anticipacion
cumplir,neutro,neutro
cumpliendo,neutro,neutro
composición,neutro,neutro
componente,neutro,neutro
componer,neutro,neutro
compuesto,positivo,neutro
compositor,positivo,neutro
compuesto,neutro,neutro
composición,neutro,neutro
compost,negativo,disgusto
calma,positivo,neutro
compuesto,neutro,neutro
comprender,positivo,neutro
comprensión,neutro,neutro
integral,positivo,neutro
comprimir,neutro,enfado
comprimido,neutro,neutro
compresible,neutro,neutro
compresión,neutro,neutro
comprender,neutro,neutro
compromiso,neutro,neutro
contralor,neutro,confianza
compulsión,negativo,enfado
obligatorio,negativo,neutro
calculable,neutro,neutro
cálculo,neutro,neutro
calcular,neutro,neutro
computadora,neutro,neutro
camarada,positivo,confianza
estafa,neutro,neutro
concatenación,neutro,neutro
cóncavo,neutro,neutro
encubrir,negativo,tristeza
ocultado,negativo,anticipacion
ocultación,negativo,enfado
presunción,negativo,neutro
engreído,negativo,neutro
concebible,neutro,neutro
concentrarse,neutro,neutro
concentración,neutro,neutro
concéntrico,positivo,neutro
concepción,neutro,neutro
inquietud,neutro,neutro
preocupado,neutro,miedo
concierto,neutro,neutro
concesión,neutro,neutro
concesional,neutro,neutro
conserje,neutro,neutro
conciliación,positivo,alegria
conciso,neutro,neutro
cónclave,neutro,neutro
concluir,neutro,neutro
concluyendo,positivo,neutro
conclusión,neutro,neutro
mezcla,neutro,neutro
concomitante,neutro,neutro
concordia,positivo,confianza
concordancia,positivo,confianza
concurso,neutro,neutro
concurso,neutro,neutro
concreto,neutro,neutro
concurrencia,neutro,neutro
concurrente,neutro,neutro
coincidiendo,neutro,neutro
concusión,negativo,enfado
condenar,negativo,enfado
condenación,negativo,enfado
condensación,neutro,neutro
condensado,neutro,neutro
condescendiente,negativo,neutro
condescendencia,negativo,enfado
condimento,neutro,neutro
condición,neutro,neutro
condicional,neutro,neutro
condicionalmente,neutro,neutro
acondicionado,neutro,neutro
condiciones,neutro,neutro
condolencia,positivo,tristeza
condonar,positivo,neutro
conducente,positivo,neutro
conducta,neutro,neutro
conducción,neutro,neutro
conductividad,positivo,neutro
conductor,neutro,neutro
conducto,neutro,neutro
cono,neutro,neutro
confederado,positivo,confianza
confederación,neutro,neutro
conferir,neutro,neutro
conferencia,neutro,neutro
confesar,negativo,confianza
confesión,negativo,anticipacion
confesional,neutro,miedo
confesiones,neutro,neutro
confiar,neutro,confianza
confianza,positivo,miedo
confidente,positivo,alegria
confidencial,neutro,confianza
confidencialmente,neutro,confianza
configuración,neutro,neutro
confinar,negativo,enfado
confinado,negativo,enfado
confinamiento,negativo,enfado
fronteras,neutro,neutro
confirmar,neutro,neutro
confirmación,neutro,confianza
confirmatorio,neutro,neutro
confirmado,positivo,confianza
confiscar,negativo,enfado
confiscación,negativo,neutro
conflagración,negativo,enfado
conflicto,negativo,enfado
contradictorio,negativo,neutro
confluencia,neutro,neutro
conformidad,positivo,neutro
conformación,neutro,neutro
conformidad,neutro,confianza
confundir,negativo,neutro
aturdido,negativo,neutro
confrontar,neutro,enfado
confundir,negativo,neutro
confusión,negativo,enfado
agradable,positivo,neutro
congénito,neutro,neutro
congestión,negativo,neutro
conglomerado,neutro,confianza
conglomeración,neutro,neutro
congratulatorio,positivo,alegria
congregarse,neutro,neutro
congregación,positivo,confianza
congreso,neutro,disgusto
del congreso,neutro,neutro
congresista,neutro,confianza
congruencia,positivo,confianza
cónico,neutro,neutro
cónico,neutro,neutro
conjetura,neutro,anticipacion
conyugal,neutro,neutro
conjugado,neutro,neutro
conjugación,neutro,neutro
conjunción,neutro,neutro
conjuntivo,neutro,neutro
conjurar,neutro,anticipacion
prestidigitación,negativo,neutro
conectar,neutro,neutro
conectado,neutro,neutro
conexión,neutro,neutro
conectivo,neutro,confianza
conocedor,positivo,alegria
conquistar,neutro,neutro
conquistador,neutro,neutro
conquista,negativo,enfado
conciencia,positivo,confianza
concienzudo,positivo,confianza
conciencia,positivo,neutro
reclutamiento,neutro,neutro
consagración,positivo,anticipacion
consecutivo,neutro,neutro
consentir,neutro,neutro
consintiendo,neutro,neutro
consecuencia,neutro,neutro
consiguiente,neutro,anticipacion
conservación,positivo,anticipacion
conservatismo,neutro,neutro
conservador,neutro,neutro
conservatorio,neutro,neutro
conservar,positivo,neutro
considerable,positivo,neutro
considerado,positivo,confianza
consignatario,neutro,neutro
envío,neutro,neutro
consistencia,positivo,confianza
coherente,neutro,neutro
consuelo,neutro,neutro
consola,positivo,tristeza
consolidar,neutro,neutro
consolidación,neutro,neutro
consonante,positivo,neutro
consorte,neutro,confianza
conspicuo,neutro,neutro
conspiración,neutro,miedo
conspirador,negativo,enfado
conspirar,negativo,miedo
alguacil,neutro,confianza
constancia,positivo,confianza
constante,positivo,confianza
constantemente,neutro,confianza
constelación,neutro,neutro
consternación,negativo,enfado
estreñimiento,negativo,disgusto
Constitucion,neutro,neutro
constituyentes,neutro,neutro
constituir,neutro,confianza
constitución,neutro,neutro
constitucional,positivo,confianza
constitucionalidad,neutro,neutro
constreñir,negativo,miedo
constreñido,negativo,neutro
restricción,negativo,enfado
construir,positivo,neutro
construcción,neutro,neutro
interpretar,neutro,neutro
cónsul,neutro,confianza
consultar,neutro,confianza
consulta,neutro,neutro
consumir,neutro,neutro
consumidor,neutro,neutro
consumar,positivo,neutro
consumo,neutro,neutro
consumo,neutro,neutro
contacto,positivo,neutro
contagio,negativo,anticipacion
contagioso,negativo,disgusto
contención,neutro,neutro
contaminar,negativo,disgusto
contaminado,negativo,disgusto
contaminación,negativo,disgusto
contemplar,neutro,neutro
contemplación,positivo,neutro
contemplativo,neutro,neutro
contemporáneo,neutro,neutro
contemporáneo,neutro,neutro
desprecio,negativo,enfado
despreciable,negativo,enfado
desdeñoso,negativo,enfado
contendiente,neutro,neutro
contenido,positivo,alegria
contención,neutro,neutro
contencioso,negativo,enfado
contenido,neutro,neutro
contexto,neutro,neutro
contiguo,neutro,neutro
continencia,neutro,neutro
continente,neutro,neutro
continental,neutro,neutro
contingencia,neutro,neutro
contingente,neutro,anticipacion
continuo,neutro,neutro
continuamente,neutro,neutro
continuación,neutro,neutro
continuación,neutro,anticipacion
Seguir,positivo,anticipacion
continuado,neutro,neutro
continuo,neutro,neutro
continuidad,neutro,neutro
continuo,neutro,neutro
continuamente,neutro,neutro
contorno,positivo,neutro
contrabando,negativo,enfado
contrato,neutro,neutro
contratado,negativo,neutro
contractible,neutro,neutro
contratación,neutro,neutro
contracción,neutro,neutro
contradecir,negativo,enfado
contradicción,negativo,neutro
contradictorio,negativo,neutro
contrario,negativo,neutro
contraste,neutro,neutro
contrastado,negativo,neutro
infringir,negativo,neutro
contravención,negativo,neutro
contribuir,positivo,neutro
contribuyente,positivo,confianza
artificial,neutro,neutro
control,neutro,neutro
controversial,negativo,enfado
controversia,negativo,neutro
adivinanza,neutro,neutro
convaleciente,neutro,neutro
convección,neutro,neutro
convocar,neutro,neutro
conveniencia,positivo,neutro
conveniencias,neutro,neutro
conveniente,positivo,neutro
convento,positivo,confianza
convención,positivo,neutro
convencional,neutro,neutro
converger,neutro,neutro
convergencia,neutro,anticipacion
convergente,neutro,neutro
versado en,positivo,neutro
conversación,neutro,neutro
conversacional,positivo,neutro
conversar,neutro,neutro
conversando,neutro,neutro
conversión,neutro,neutro
convertir,positivo,neutro
convertido,neutro,neutro
convertible,neutro,neutro
convexo,neutro,neutro
convexidad,neutro,neutro
transmitir,neutro,neutro
transporte,neutro,neutro
transporte,neutro,confianza
condenar,negativo,enfado
convicción,negativo,neutro
convencer,positivo,anticipacion
convencido,neutro,confianza
Convincente,neutro,confianza
convocación,neutro,neutro
complejo,neutro,neutro
circunvolución,neutro,neutro
convoy,neutro,neutro
arrullo,neutro,neutro
cocinero,neutro,neutro
cocina,neutro,neutro
Cocinando,neutro,neutro
Frío,positivo,neutro
enfriador,neutro,neutro
enfriamiento,neutro,neutro
frescura,positivo,neutro
cooperativa,negativo,enfado
cooperar,positivo,neutro
cooperando,positivo,confianza
cooperación,positivo,confianza
cooperativa,positivo,confianza
coordinar,neutro,neutro
policía,neutro,miedo
copioso,neutro,neutro
cobre,neutro,neutro
Copiar,negativo,neutro
imitador,negativo,enfado
proceso de copiar,neutro,neutro
derechos de autor,neutro,neutro
coral,neutro,neutro
cable,neutro,neutro
cordón,neutro,neutro
pana,neutro,neutro
centro,positivo,neutro
corcho,neutro,neutro
sacacorchos,neutro,neutro
maíz,neutro,neutro
córnea,neutro,neutro
esquina,neutro,neutro
cucurucho,neutro,neutro
cornisa,neutro,neutro
maicena,neutro,neutro
corolario,neutro,neutro
corona,neutro,neutro
coronación,positivo,alegria
juez de instrucción,negativo,neutro
corporal,negativo,neutro
corporativo,neutro,neutro
corporación,positivo,confianza
corpóreo,positivo,neutro
cuerpo,neutro,neutro
cadáver,negativo,disgusto
cuerpo,neutro,neutro
corral,neutro,neutro
corrección,negativo,neutro
correctivo,positivo,neutro
exactitud,neutro,confianza
correlación,neutro,neutro
correlativo,neutro,neutro
corresponder,neutro,neutro
correspondencia,positivo,anticipacion
corresponsal,neutro,neutro
corredor,neutro,neutro
corroborar,positivo,confianza
corroboración,neutro,confianza
corrosión,negativo,neutro
corrosivo,negativo,miedo
corrupto,negativo,neutro
corrompiendo,negativo,enfado
corrupción,negativo,disgusto
corso,neutro,tristeza
corsé,neutro,neutro
corteza,neutro,neutro
cortical,neutro,neutro
corbeta,neutro,neutro
cosmético,neutro,neutro
productos cosméticos,neutro,neutro
cósmico,neutro,neutro
cosmología,neutro,neutro
cosmopolita,positivo,confianza
cosmos,neutro,neutro
costo,neutro,neutro
costoso,neutro,neutro
disfraz,neutro,neutro
acogedor,positivo,neutro
cuna,neutro,neutro
redil,neutro,neutro
cabaña,neutro,neutro
algodón,neutro,neutro
sofá,neutro,tristeza
Puma,neutro,neutro
tos,negativo,disgusto
Consejo,positivo,anticipacion
consejo,positivo,confianza
consejero,negativo,enfado
consejero,positivo,confianza
contar,positivo,confianza
cuenta regresiva,neutro,anticipacion
rostro,neutro,neutro
encimera,neutro,neutro
contrarrestar,neutro,neutro
contrapeso,neutro,neutro
reconvención,neutro,neutro
contrapartida,neutro,neutro
condesa,positivo,neutro
incontable,neutro,neutro
país,neutro,neutro
compatriota,neutro,confianza
cuenta,neutro,neutro
condado,neutro,confianza
golpe,neutro,enfado
pareja,neutro,neutro
acoplado,neutro,neutro
cupón,neutro,neutro
coraje,positivo,neutro
valiente,positivo,miedo
mensajero,neutro,confianza
cursos,neutro,neutro
caza de liebres,negativo,neutro
tribunal,neutro,enfado
cortés,positivo,neutro
cortesía,positivo,neutro
palacio de justicia,neutro,neutro
tribunales,neutro,neutro
noviazgo,positivo,anticipacion
patio,neutro,neutro
ensenada,positivo,anticipacion
pacto,positivo,confianza
cubrir,neutro,confianza
cubierto,neutro,neutro
cubierta,neutro,neutro
encubierto,neutro,neutro
codiciar,negativo,neutro
vaca,neutro,neutro
cobarde,negativo,disgusto
cobardía,negativo,miedo
cobardemente,negativo,miedo
vaquero,neutro,neutro
cuero,neutro,neutro
capucha,neutro,neutro
compañero de trabajo,neutro,neutro
tímido,neutro,miedo
coyote,neutro,miedo
cangrejo,neutro,neutro
osco,negativo,enfado
grieta,negativo,neutro
agrietado,negativo,enfado
galleta,neutro,neutro
agrietamiento,negativo,neutro
crepitar,neutro,neutro
cuna,positivo,anticipacion
artesanía,positivo,neutro
artesano,positivo,neutro
astuto,neutro,neutro
craig,neutro,neutro
abarrotado,neutro,neutro
calambre,negativo,anticipacion
estrecho,negativo,neutro
grua,neutro,neutro
cráneo,neutro,neutro
manivela,negativo,neutro
de maniático,negativo,enfado
tonterías,negativo,disgusto
dados,neutro,anticipacion
choque,negativo,miedo
caja,neutro,neutro
cráter,neutro,neutro
pedir,neutro,anticipacion
antojo,neutro,anticipacion
cangrejo de río,neutro,neutro
gatear,negativo,disgusto
lápices de color,neutro,neutro
manía,neutro,neutro
loco,negativo,enfado
loca,negativo,enfado
crujiente,negativo,neutro
crema,positivo,anticipacion
desnatadora,neutro,neutro
cremoso,neutro,neutro
pliegue,neutro,neutro
crear,positivo,alegria
creación,neutro,neutro
creativo,positivo,neutro
creador,neutro,neutro
criatura,negativo,disgusto
crédito,positivo,confianza
credencial,positivo,confianza
cartas credenciales,neutro,neutro
credibilidad,positivo,confianza
creíble,positivo,confianza
crédito,positivo,confianza
loable,positivo,confianza
acreditado,positivo,neutro
acreditando,neutro,neutro
acreedor,neutro,neutro
credo,neutro,neutro
Riachuelo,neutro,neutro
arrastrarse,negativo,neutro
progresivo,neutro,anticipacion
cremación,neutro,tristeza
criollo,neutro,neutro
crescendo,positivo,anticipacion
creciente,neutro,neutro
hendedura,neutro,neutro
tripulación,neutro,confianza
cuna,neutro,neutro
Grillo,neutro,neutro
delito,negativo,enfado
delincuente,negativo,enfado
criminalidad,negativo,enfado
rizar,neutro,neutro
carmesí,neutro,neutro
morir de vergüenza,negativo,disgusto
lisiado,negativo,miedo
lisiado,negativo,tristeza
crisis,negativo,neutro
crujiente,negativo,confianza
criterio,neutro,neutro
crítico,negativo,neutro
crítica,negativo,enfado
criticar,negativo,enfado
crítica,positivo,neutro
bicho,neutro,disgusto
croar,neutro,neutro
vasija,neutro,neutro
vajilla,neutro,neutro
cocodrilo,neutro,miedo
granja pequeña,neutro,neutro
ladrón,negativo,neutro
cultivo,neutro,neutro
juego de croquet,neutro,neutro
cruz,negativo,enfado
ballesta,neutro,neutro
cruzado,neutro,neutro
cruce,neutro,neutro
entrepierna,neutro,neutro
agacharse,neutro,miedo
agachado,neutro,neutro
agazapado,negativo,miedo
crupier,neutro,neutro
cuervo,neutro,neutro
multitud,neutro,neutro
atestado,neutro,neutro
corona,neutro,neutro
coronamiento,positivo,anticipacion
crucial,positivo,confianza
cruzado,negativo,neutro
crucifijo,neutro,neutro
crucifixión,negativo,enfado
crudo,negativo,disgusto
cruel,negativo,enfado
con crueldad,negativo,enfado
crueldad,negativo,enfado
crucero,neutro,neutro
crucero,neutro,neutro
miga,neutro,neutro
desmoronándose,negativo,tristeza
crujido,negativo,enfado
cruzada,negativo,enfado
Persona especial,neutro,neutro
aplastada,negativo,enfado
aplastante,negativo,enfado
corteza,neutro,neutro
crujiente,negativo,disgusto
muleta,neutro,neutro
quid,neutro,neutro
llorar,negativo,tristeza
llorando,negativo,tristeza
cripta,negativo,miedo
críptico,neutro,neutro
criptografía,neutro,neutro
cristal,positivo,neutro
cristalino,neutro,neutro
cristalización,neutro,neutro
cachorro,neutro,neutro
cubo,neutro,confianza
cubículo,neutro,neutro
cornudo,negativo,disgusto
cuco,negativo,neutro
abrazo,positivo,alegria
señal,neutro,anticipacion
brazalete,neutro,neutro
cocina,neutro,neutro
culinario,positivo,confianza
desecho,negativo,neutro
culminar,neutro,neutro
culminación,positivo,neutro
culpabilidad,negativo,neutro
culpable,negativo,neutro
culpable,negativo,neutro
culto,negativo,miedo
cultivar,positivo,anticipacion
cultivado,positivo,neutro
cultivo,positivo,neutro
cultura,positivo,neutro
alcantarilla,neutro,neutro
incómodo,negativo,tristeza
cúmulo,neutro,neutro
astucia,negativo,neutro
taza,neutro,neutro
alacena,neutro,neutro
utilización de tazas,negativo,disgusto
canalla,negativo,enfado
curable,positivo,confianza
cura,neutro,neutro
curativo,neutro,neutro
curador,neutro,neutro
frenar,neutro,neutro
Cuajada,neutro,neutro
toque de queda,neutro,neutro
curiosidad,positivo,anticipacion
rizo,positivo,neutro
curling,neutro,neutro
divisa,neutro,neutro
Actual,neutro,neutro
plan de estudios,neutro,neutro
curry,neutro,neutro
maldición,negativo,enfado
maldito,negativo,enfado
maldiciendo,negativo,enfado
superficial,negativo,neutro
brusco,neutro,neutro
acortar,neutro,neutro
reducción,neutro,neutro
cortina,neutro,neutro
curvatura,neutro,neutro
curva,neutro,neutro
curvo,neutro,neutro
con línea no recta,neutro,neutro
almohadón,positivo,neutro
cúspide,neutro,neutro
terco,neutro,enfado
custodio,neutro,confianza
custodia,neutro,confianza
disfraz,neutro,neutro
acostumbrado,neutro,neutro
cliente,positivo,neutro
Corte,neutro,neutro
cutáneo,neutro,neutro
lindo,positivo,neutro
cutícula,neutro,neutro
cuchillería,neutro,neutro
cortador,negativo,miedo
cortadores,positivo,neutro
asesino,negativo,enfado
corte,negativo,enfado
esquejes,neutro,neutro
cwt,neutro,neutro
cianuro,negativo,miedo
ciclo,neutro,neutro
cíclico,neutro,neutro
ciclista,neutro,neutro
ciclón,negativo,miedo
cilindro,neutro,neutro
cilíndrico,neutro,neutro
platillo,neutro,neutro
cínico,neutro,neutro
quiste,negativo,miedo
cístico,neutro,disgusto
citomegalovirus,negativo,tristeza
citoplasma,neutro,neutro
zar,neutro,neutro
lenguado,neutro,neutro
salpicar,neutro,neutro
chapoteando,negativo,enfado
papá,neutro,neutro
friso,neutro,neutro
demonio,negativo,enfado
loco,negativo,disgusto
daga,negativo,miedo
diariamente,neutro,anticipacion
delicado,neutro,neutro
lácteos,neutro,neutro
Dak,neutro,neutro
valle,neutro,neutro
presa,neutro,neutro
daño,negativo,enfado
daños y perjuicios,negativo,tristeza
dama,positivo,enfado
maldita sea,negativo,enfado
condenación,negativo,enfado
maldito,negativo,neutro
húmedo,neutro,neutro
humedecido,neutro,neutro
apagador,negativo,neutro
damisela,neutro,neutro
baile,positivo,alegria
bailarín,neutro,neutro
caspa,negativo,neutro
dandy,negativo,disgusto
peligro,negativo,miedo
peligroso,negativo,miedo
colgar,neutro,neutro
húmedo,neutro,disgusto
apuesto,neutro,neutro
atrevimiento,neutro,anticipacion
atrevido,positivo,neutro
oscuro,neutro,tristeza
oscurecer,negativo,miedo
oscurecido,negativo,miedo
misteriosamente,neutro,neutro
oscuridad,negativo,enfado
querida,positivo,alegria
maldito,neutro,neutro
dardo,neutro,miedo
estrellarse,neutro,neutro
tablero,neutro,neutro
punteado,negativo,enfado
apuesto,positivo,neutro
ruin,negativo,enfado
datos,neutro,neutro
base de datos,neutro,neutro
fecha,neutro,neutro
hija,positivo,alegria
amanecer,positivo,anticipacion
día,neutro,neutro
Alba,neutro,neutro
soñador,neutro,neutro
aturdimiento,neutro,neutro
aturdido,negativo,neutro
deslumbrante,neutro,neutro
diácono,neutro,confianza
desactivar,negativo,neutro
punto muerto,negativo,neutro
mortal,negativo,enfado
ensordecedor,neutro,neutro
sordera,neutro,neutro
acuerdo,positivo,anticipacion
distribuidor,neutro,neutro
relación comercial,neutro,neutro
transacciones,neutro,confianza
decano,neutro,neutro
Estimado,positivo,neutro
escasez,neutro,neutro
muerte,negativo,enfado
debacle,negativo,miedo
discutible,neutro,neutro
debate,positivo,neutro
libertinaje,negativo,disgusto
obligación,neutro,anticipacion
débito,neutro,neutro
escombros,negativo,disgusto
deuda,negativo,tristeza
deudor,negativo,neutro
debut,neutro,neutro
década,neutro,neutro
licorera,neutro,neutro
decadencia,negativo,miedo
decaido,negativo,disgusto
fallecido,negativo,tristeza
engaño,negativo,enfado
engañoso,negativo,disgusto
engañar,negativo,enfado
engañado,negativo,enfado
engañoso,negativo,confianza
decencia,positivo,neutro
decente,positivo,neutro
engaño,negativo,neutro
engañoso,negativo,neutro
decididamente,neutro,neutro
caduco,neutro,neutro
decimal,neutro,neutro
descifrar,neutro,neutro
decisión,neutro,neutro
decisivo,neutro,neutro
plataforma,neutro,neutro
declaración,neutro,neutro
declaratorio,positivo,neutro
declarar,neutro,neutro
declinación,negativo,neutro
rechazar,negativo,neutro
declinante,negativo,neutro
descomponer,neutro,disgusto
descompuesto,neutro,tristeza
descomposición,negativo,disgusto
Decorar,neutro,neutro
decoración,neutro,neutro
decoro,neutro,neutro
señuelo,neutro,sorpresa
disminuir,negativo,neutro
disminuido,neutro,neutro
decreciente,neutro,neutro
decreto,neutro,neutro
decremento,negativo,neutro
decrépito,negativo,neutro
desacreditar,negativo,enfado
dedicación,positivo,neutro
deducir,neutro,neutro
deducir,negativo,neutro
deducción,neutro,neutro
escritura,neutro,confianza
profundizar,neutro,neutro
ciervo,neutro,neutro
difamación,negativo,disgusto
difamatorio,negativo,enfado
defecto,negativo,disgusto
vencer,negativo,neutro
derrotado,negativo,tristeza
defecto,negativo,enfado
deserción,negativo,miedo
defectuoso,negativo,disgusto
defender,positivo,miedo
acusado,neutro,enfado
defendido,positivo,confianza
defensor,positivo,confianza
defendiendo,positivo,neutro
defensa,positivo,enfado
indefenso,negativo,miedo
defendible,neutro,neutro
defensivo,neutro,neutro
aplazar,neutro,neutro
deferencia,positivo,confianza
aplazamiento,negativo,neutro
aplazando,neutro,neutro
desafío,negativo,enfado
desafiante,negativo,enfado
deficiencia,negativo,neutro
déficit,negativo,neutro
definir,neutro,neutro
definido,neutro,neutro
definición,neutro,neutro
definitivo,positivo,confianza
desinflar,negativo,enfado
deflación,negativo,miedo
cambiar,neutro,neutro
desviación,neutro,neutro
desfloración,neutro,neutro
deformar,negativo,disgusto
deformado,negativo,disgusto
deformidad,negativo,disgusto
defraudar,negativo,enfado
sufragar,neutro,neutro
hábil,neutro,neutro
difunto,negativo,tristeza
desafiar,negativo,enfado
degeneración,negativo,enfado
degenerar,negativo,neutro
degeneración,neutro,neutro
degradación,negativo,neutro
degradar,negativo,disgusto
degradante,negativo,disgusto
la licenciatura,positivo,neutro
deshidratado,neutro,neutro
demora,negativo,enfado
demorado,negativo,neutro
delicioso,positivo,neutro
delegar,positivo,confianza
delegación,neutro,neutro
perjudicial,negativo,enfado
supresión,negativo,neutro
adrede,positivo,neutro
deliberación,neutro,neutro
deliberativo,neutro,neutro
delicadeza,neutro,neutro
delicioso,positivo,alegria
deleitar,positivo,anticipacion
contento,positivo,anticipacion
encantador,positivo,anticipacion
delinear,neutro,neutro
delineación,neutro,neutro
delincuencia,negativo,neutro
delincuente,negativo,enfado
delirante,negativo,tristeza
delirio,negativo,disgusto
liberación,positivo,anticipacion
entrega,positivo,anticipacion
dell,neutro,neutro
delta,neutro,neutro
diluvio,negativo,miedo
engaño,negativo,enfado
delirante,negativo,enfado
ahondar,neutro,neutro
pedir,negativo,enfado
demandante,negativo,neutro
comportamiento,neutro,neutro
demente,negativo,miedo
demencia,negativo,miedo
fallecimiento,negativo,miedo
la democracia,positivo,neutro
demócrata,neutro,neutro
demoler,negativo,enfado
demolición,negativo,neutro
demonio,negativo,enfado
demoníaco,negativo,enfado
demostrable,positivo,neutro
demostrar,neutro,neutro
demostrado,neutro,neutro
demostrando,neutro,neutro
demostración,neutro,neutro
demostrativo,positivo,alegria
demostrador,neutro,neutro
desmoralizado,negativo,miedo
población,neutro,neutro
guarida,neutro,neutro
negación,negativo,neutro
denegado,negativo,tristeza
denominación,neutro,neutro
confesional,neutro,neutro
denominador,neutro,neutro
denotar,neutro,neutro
denunciar,negativo,enfado
denso,neutro,neutro
densidad,neutro,neutro
mella,neutro,neutro
odontología,neutro,miedo
denuncia,negativo,enfado
negar,negativo,enfado
negando,negativo,anticipacion
desodorante,neutro,neutro
salir,neutro,anticipacion
salido,negativo,tristeza
Departamento,neutro,neutro
partida,negativo,tristeza
depender,neutro,anticipacion
dependiente,neutro,neutro
dependencia,negativo,miedo
dependencia,negativo,neutro
dependiente,negativo,confianza
representar,neutro,neutro
representando,neutro,neutro
agotamiento,neutro,neutro
deplorable,negativo,enfado
deplorar,negativo,enfado
desplegar,neutro,neutro
deportar,negativo,miedo
deportación,negativo,enfado
depósito,neutro,neutro
depositario,neutro,neutro
declaración,neutro,neutro
depositario,neutro,confianza
deposito,neutro,neutro
depravado,negativo,enfado
depravación,negativo,enfado
depreciar,negativo,enfado
depreciado,negativo,enfado
depreciación,negativo,miedo
deprimir,negativo,miedo
deprimido,negativo,enfado
deprimente,negativo,disgusto
depresión,negativo,tristeza
depresivo,negativo,tristeza
privación,negativo,enfado
profundidad,positivo,confianza
diputado,neutro,confianza
hacer descarrilar,neutro,neutro
trastornado,negativo,enfado
abandonado,negativo,neutro
burla,negativo,enfado
derivación,neutro,neutro
derivado,neutro,neutro
derivar,neutro,neutro
dérmico,neutro,neutro
dermatólogo,neutro,confianza
dermatología,neutro,neutro
humillación,negativo,enfado
despectivo,negativo,enfado
descender,neutro,neutro
descendiente,neutro,neutro
descendiente,neutro,neutro
descendiendo,neutro,neutro
descendencia,neutro,miedo
describir,neutro,neutro
descripción,neutro,neutro
descriptivo,positivo,neutro
profanación,negativo,enfado
Desierto,negativo,enfado
abandonado,negativo,enfado
deserción,negativo,neutro
merecer,positivo,enfado
merecido,positivo,neutro
digno,neutro,neutro
diseño,neutro,neutro
designado,neutro,neutro
designacion,neutro,confianza
diseñado,neutro,neutro
diseñador,positivo,neutro
diseño,neutro,neutro
atractivo,neutro,neutro
deseable,positivo,neutro
deseando,positivo,neutro
deseoso,positivo,neutro
abstenerse,negativo,enfado
escritorio,neutro,neutro
soledad,negativo,miedo
desesperación,negativo,enfado
desesperado,negativo,miedo
envío,neutro,neutro
desesperado,negativo,neutro
desesperación,neutro,neutro
despreciable,negativo,enfado
despreciar,negativo,enfado
despótico,negativo,miedo
despotismo,negativo,enfado
postre,neutro,neutro
destino,positivo,anticipacion
destinado,neutro,anticipacion
destino,neutro,neutro
indigente,negativo,miedo
destruido,negativo,enfado
destructor,negativo,enfado
destruyendo,negativo,enfado
destrucción,negativo,enfado
destructivo,negativo,enfado
despegar,neutro,neutro
separado,neutro,neutro
desapego,negativo,neutro
detalle,neutro,neutro
detalles,neutro,neutro
detener,negativo,neutro
detenido,negativo,enfado
detectar,positivo,neutro
detectable,neutro,neutro
detección,positivo,neutro
detective,neutro,neutro
detector,neutro,neutro
detención,negativo,tristeza
desalentar,neutro,neutro
detergente,neutro,neutro
deteriorarse,negativo,miedo
deteriorado,negativo,disgusto
deterioro,negativo,enfado
determinable,neutro,neutro
determinado,neutro,anticipacion
determinación,positivo,confianza
determinado,positivo,neutro
detestar,negativo,enfado
detonar,negativo,miedo
detonación,neutro,enfado
desvío,neutro,neutro
detraer,negativo,enfado
detrimento,negativo,neutro
perjudicial,negativo,neutro
detrito,negativo,neutro
dos,neutro,neutro
devastar,negativo,enfado
devastador,negativo,enfado
devastación,negativo,enfado
desarrollar,positivo,anticipacion
desarrollando,neutro,neutro
desarrollo,neutro,neutro
desviarse,neutro,neutro
desviarse,neutro,neutro
desviación,neutro,tristeza
dispositivo,neutro,neutro
demonio,negativo,enfado
diabólico,negativo,disgusto
tortuoso,negativo,neutro
idear,neutro,neutro
vacío,neutro,neutro
devolución,negativo,neutro
delegar,neutro,neutro
dedicar,neutro,neutro
devoto,neutro,neutro
piadoso,positivo,confianza
devorar,negativo,neutro
devoto,positivo,anticipacion
Rocío,neutro,neutro
diestro,neutro,neutro
destreza,positivo,neutro
dextrosa,neutro,neutro
diabólico,negativo,enfado
diagnóstico,negativo,anticipacion
diagnóstico,neutro,neutro
diagnóstico,neutro,neutro
diagrama,neutro,neutro
marcar,neutro,neutro
dialecto,neutro,neutro
dialéctico,neutro,neutro
diálogo,neutro,neutro
diámetro,neutro,neutro
diamante,positivo,alegria
diamantes,neutro,neutro
pañal,neutro,disgusto
diafragma,neutro,neutro
Diarrea,neutro,disgusto
